N_kN,My_kNm,Mz_kNm,neutral_axis_depth_mm,neutral_axis_angle_deg,max_concrete_strain,max_steel_strain
-513.1323993882761,-9.094596973417856,-13.779293230417307,19.445614988014135,186.0,0.0226614238509733,0.02
-513.1323993882761,-9.912758689889724,-13.162473472475781,22.976776132509848,192.0,0.022675219416234117,0.02
-513.1323993882761,-10.299588012167614,-12.741463826910241,25.345689265293593,198.0,0.022681361514127855,0.02
-513.1323993882761,-10.60873689788108,-12.405687639714126,27.00561803835782,204.0,0.02268418486988425,0.02
-513.1323993882761,-10.873598050548695,-12.117460560875625,28.19396617014615,210.0,0.022685723589189653,0.02
-513.1323993882761,-11.119720770423767,-11.85326332199251,29.012559289210248,216.0,0.02268681668278233,0.02
-513.1323993882761,-11.356083962882115,-11.603694314027322,29.44217547066861,222.0,0.022687455158841144,0.02
-513.1323993882761,-11.603694314027313,-11.3560839628821,29.442175470668648,228.0,0.02268745515884114,0.02
-513.1323993882761,-11.853263321992536,-11.119720770423797,29.012559289210273,234.0,0.02268681668278233,0.02
-513.1323993882761,-12.117460560875584,-10.87359805054866,28.193966170146105,240.0,0.022685723589189653,0.02
-513.1323993882761,-12.405687639714118,-10.608736897881073,27.005618038357788,246.0,0.022684184869884248,0.02
-513.1323993882761,-12.741463826910245,-10.299588012167618,25.345689265293647,252.0,0.022681361514127862,0.02
-513.1323993882761,-13.162473472475764,-9.912758689889717,22.976776132509862,258.0,0.022675219416234117,0.02
-513.1323993882761,-13.779293230417323,-9.094596973417868,19.445614988014132,264.0,0.0226614238509733,0.02
-513.1323993882761,-15.125918866671979,-3.864988684654236e-14,9.316298098849503,270.0,0.02259467804107134,0.02
-513.1323993882761,-13.779293230417334,9.094596973417856,19.445614988014132,276.0,0.0226614238509733,0.02
-513.1323993882761,-13.162473472475758,9.912758689889703,22.976776132509862,282.0,0.022675219416234117,0.02
-513.1323993882761,-12.74146382691024,10.29958801216761,25.345689265293615,288.0,0.022681361514127862,0.02
-513.1323993882761,-12.405687639714133,10.608736897881093,27.005618038357852,294.0,0.02268418486988425,0.02
-513.1323993882761,-12.11746056087558,10.873598050548658,28.193966170146112,300.0,0.022685723589189657,0.02
-513.1323993882761,-11.853263321992506,11.119720770423763,29.01255928921026,306.0,0.02268681668278233,0.02
-513.1323993882761,-11.603694314027326,11.356083962882101,29.44217547066861,312.0,0.02268745515884114,0.02
-513.1323993882761,-11.356083962882108,11.603694314027326,29.442175470668673,318.0,0.02268745515884114,0.02
-513.1323993882761,-11.119720770423763,11.853263321992511,29.012559289210294,324.0,0.02268681668278233,0.02
-513.1323993882761,-10.873598050548662,12.11746056087558,28.19396617014617,330.0,0.022685723589189653,0.02
-513.1323993882761,-10.608736897881073,12.405687639714115,27.00561803835781,336.0,0.022684184869884244,0.02
-513.1323993882761,-10.299588012167623,12.741463826910246,25.345689265293725,342.0,0.022681361514127862,0.02
-513.1323993882761,-9.912758689889712,13.162473472475764,22.976776132509883,348.0,0.022675219416234117,0.02
-513.1323993882761,-9.094596973417872,13.779293230417338,19.445614988014164,354.0,0.0226614238509733,0.02
-436.89308654744184,-5.587935447692871e-15,27.863049519946866,15.50857077837446,0.0,0.022643688841294814,0.02
-436.89308654744184,17.956738963608885,26.6426905897305,30.626122664936194,6.0,0.022747246825660813,0.02
-436.89308654744184,20.628066318213982,25.648435839284904,37.207284782278165,12.0,0.02277810880543299,0.02
-436.89308654744184,21.567293956538517,25.03094208745946,41.52746594756031,18.0,0.022792303575814223,0.02
-436.89308654744184,22.118252559629475,24.567436812686235,44.59370450401032,24.0,0.022799695786725836,0.02
-436.89308654744184,22.525077875955482,24.1811426017789,46.830195945802124,30.0,0.022804281377476827,0.02
-436.89308654744184,22.877252424615744,23.835045318156745,48.249139666004375,36.0,0.02280664699255414,0.02
-436.89308654744184,23.1905887876625,23.521304585197647,48.977481188520436,42.0,0.022807895182772497,0.02
-436.89308654744184,23.52130458519765,23.190588787662502,48.977481188520436,48.0,0.022807895182772497,0.02
-436.89308654744184,23.835045318156737,22.877252424615747,48.24913966600437,54.0,0.02280664699255414,0.02
-436.89308654744184,24.18114260177891,22.52507787595549,46.83019594580212,60.0,0.022804281377476827,0.02
-436.89308654744184,24.567436812686235,22.118252559629468,44.593704504010326,66.0,0.022799695786725836,0.02
-436.89308654744184,25.03094208745945,21.567293956538514,41.52746594756031,72.0,0.022792303575814226,0.02
-436.89308654744184,25.6484358392849,20.62806631821397,37.207284782278144,78.0,0.02277810880543299,0.02
-436.89308654744184,26.642690589730503,17.95673896360889,30.626122664936194,84.0,0.022747246825660813,0.02
-436.89308654744184,27.863049519946934,-3.725290298461914e-15,15.50857077837448,90.0,0.022643688841294817,0.02
-436.89308654744184,26.642690589730503,-17.95673896360889,30.62612266493617,96.0,0.02274724682566081,0.02
-436.89308654744184,25.64843583928489,-20.62806631821396,37.20728478227812,102.0,0.022778108805432993,0.02
-436.89308654744184,25.030942087459437,-21.5672939565385,41.52746594756026,108.0,0.022792303575814223,0.02
-436.89308654744184,24.56743681268623,-22.11825255962946,44.593704504010304,114.0,0.022799695786725836,0.02
-436.89308654744184,24.181142601778898,-22.525077875955475,46.83019594580206,120.0,0.022804281377476827,0.02
-436.89308654744184,23.83504531815675,-22.877252424615754,48.249139666004325,126.0,0.02280664699255414,0.02
-436.89308654744184,23.52130458519763,-23.19058878766248,48.977481188520414,132.0,0.022807895182772497,0.02
-436.89308654744184,23.190588795188724,-23.521304592801336,48.97748119938686,138.0,0.0228078951828425,0.02
-436.89308654744184,22.87725242461573,-23.835045318156723,48.2491396660043,144.0,0.02280664699255414,0.02
-436.89308654744184,22.52507787595547,-24.181142601778895,46.83019594580205,150.0,0.022804281377476827,0.02
-436.89308654744184,22.11825255962945,-24.567436812686207,44.59370450401028,156.0,0.022799695786725836,0.02
-436.89308654744184,21.56729395653852,-25.030942087459465,41.52746594756028,162.0,0.022792303575814226,0.02
-436.89308654744184,20.62806631821396,-25.648435839284886,37.2072847822781,168.0,0.022778108805432993,0.02
-436.89308654744184,17.95673896360892,-26.642690589730524,30.62612266493619,174.0,0.02274724682566081,0.02
-436.89308654744184,4.377216100692749e-14,-27.863049519946866,15.50857077837446,180.0,0.022643688841294817,0.02
-436.89308654744184,-17.956738963608906,-26.642690589730524,30.62612266493615,186.0,0.022747246825660813,0.02
-436.89308654744184,-20.62806631821397,-25.648435839284893,37.207284782278094,192.0,0.022778108805432993,0.02
-436.89308654744184,-21.56729395653855,-25.030942087459493,41.52746594756023,198.0,0.022792303575814223,0.02
-436.89308654744184,-22.11825255962944,-24.567436812686203,44.59370450401026,204.0,0.022799695786725836,0.02
-436.89308654744184,-22.525077875955464,-24.181142601778888,46.83019594580203,210.0,0.022804281377476827,0.02
-436.89308654744184,-22.877252424615754,-23.835045318156755,48.249139666004325,216.0,0.02280664699255414,0.02
-436.89308654744184,-23.190588795188702,-23.521304592801325,48.97748119938679,222.0,0.022807895182842496,0.02
-436.89308654744184,-23.521304585197647,-23.1905887876625,48.97748118852043,228.0,0.022807895182772497,0.02
